"Li" "Na" "Mg" "K" "Ca" "Mn" "Fe" "Cu"
2207.50059590984 55681.1028602716 24985.3275933875 5523.24555356798 30069.1491922084 109.627368302339 213.250965204527 228.322635776283
891.139827485768 58569.492171381 31671.681261459 3503.46844886694 18153.5364240777 212.864322340108 4121.99335128441 570.025965419083
1838.23754026389 46685.6642853299 28435.0826988845 10712.286959798 30788.6023484263 42 32.4402529118704 40.5
3139.39787457523 65461.3979167077 18400.7671899645 3115.60263418295 30401.9001770084 38.1473545742268 1256.20807476813 61.2252737261869
2273.74570574952 72146.6778449464 15187.4266645181 12151.9502842719 27501.4764040397 29 1524.69543260757 144.84326849216
1555.7180938996 10845.7051923761 30902.0256779716 34231.4549902454 45215.5184863172 182.669516186108 221.132161754023 27
3376.09896992593 15993.8888740845 39266.1892480892 12080.0666922595 33065.8382152431 516.915255160898 181.431924263114 36
753.602504905894 22590.845145872 43476.5776880191 11755.0159975877 24989.5549642775 460.641786364668 4986.3178105685 35.9247370845361
1394.12367776661 22817.9845564027 40518.8208574958 11654.3378027992 30458.366289852 446.100695227955 1075.24150938959 60
NA 54401.1278362863 30278.9110430262 7673.57100191296 23297.0127116374 1092.75258488699 NA 559.499469048391
3723.83451681132 35039.2063790279 25616.4290937908 17966.5369640913 35087.446759601 399.119000637093 415.051432877442 120
1160.79954944663 24511.7842794988 41316.9386504207 10936.4577618419 25553.3000924532 486.161762703134 5626.17760782389 47
750.005020827271 14452.8280405746 44092.7185442762 16316.4564617886 27640.6937880275 269.788402208777 6557.5103937339 12
977.764151702941 6461.67069732675 46408.6688332617 17816.7709106488 27427.380981658 878.611386759883 7850.06241743762 75
NA 28372.0436988911 36117.6097641799 7879.38703140955 30929.017349718 360 10186.1846895851 300
5461.50722258277 39122.9308089185 34344.3463872544 7646.63240809641 18142.9684736518 160 55 135
1500 20458.1288548626 19784.460485463 9897.84065608457 45280.2367515489 2756.56487072256 16280.6207262409 6262.45263905909
835.423301572846 10325.6890494953 48000.2753511154 11981.3553292405 30595.4346655344 180 663.606418883324 165
500 121046.314154535 6343.08480084882 4842.62467305861 6113.378805286 275 2307.00748928268 220
4180.79890050529 14685.5465080067 42189.9632472063 26345.3322072034 19310.0582626841 162.732794679824 1799.84471659085 17.9111984679637
9910.89243342267 32131.7923709792 17582.299284628 6801.09221214774 40203.3193717185 43 68.5667393467994 39.5
1150 24474.9871864796 22417.7794679248 32953.7525145486 41369.3554176023 950 1884.00965722892 600
3438.83851043135 55709.8607536749 16201.0291249666 2532.137681241 40049.1984257361 265.65843168262 3292.95218042373 12.5
3280.8896271275 63793.0225147562 26195.6030431128 7084.99277054861 14250.0289930409 435.516344208362 3892.4842083865 16.8865861482153
811.778666490603 23594.3447520061 39199.5907710599 16501.5430613586 27215.0944070444 673.332387733032 6786.48224202323 16
8847.55572786448 14244.6168982872 33181.7327262593 38226.8322342039 12927.1888562333 750 3275.91510507005 440
11999.7116107506 25452.8989247822 28835.1935502286 20607.8609238634 10611.326460601 445.612807476387 4571.29715541795 645.377788429478
NA 32617.6996203378 39048.466433545 13829.9308429694 18660.5029205717 750 11529.5478229953 550
10820.0862420147 14972.0370158121 37049.6533821339 5381.49474510064 14455.699472473 230 3422.21126878416 5069.90102284375
11732.5408552357 48350.9767725454 10639.1361376319 18649.740938062 24617.4905159743 240 1770.4866381677 125
4564.19719385403 23686.2305944805 38461.8029027135 7347.06966583174 23827.8450915554 85 5425.20617006976 46.5
4629.46643128534 20244.3082398761 26700.6237480509 10254.6487646134 46401.796513984 1259.15601920902 NA 551.694075638587
NA 6783.70421488039 26052.5711283388 7700.82915284227 64035.3381943856 850 11457.1074439236 1488.80560696547
1611.10370351339 63600.5461365158 21976.2202446505 25862.9786263675 17288.8473621415 600 919.41788687471 465
2073.45426935466 13607.4457995144 52982.5926962388 12392.7736617062 16519.8524422893 54.0964007759696 646.973624498363 19.5
NA 23562.2396817184 46286.3526275362 19783.6529236937 13513.1993344908 395 8340.8569922952 280
14722.2425692014 29188.960932545 22330.8914280585 5394.33373873948 20470.6058857536 532.396951899014 1135.6060674261 60
9876.70453876327 49448.8858200523 14462.887349097 9174.85636367221 26626.3035464226 883.345447340389 1900.56882712836 37
6505.62148943417 45531.5604225229 12231.0819250429 41065.0543686834 27745.4852371338 458.628004840288 1146.44471449912 110
11518.090318607 24022.8685576184 22566.2220505513 19112.3283888483 26228.8299185627 500 NA 1221.8304986043
5027.05117809373 44659.7115235111 31935.0584732222 18677.8319740979 11729.4676619238 1100 NA 323.044750851966
