"solute1" "solute2" "solute3" 
0.780522 0.255980 0.342870 
0.289705 0.320674 0.349791 
0.723964 0.735037 0.731813 
0.695960 0.635859 0.288223 
0.300789 0.324904 0.262473 
0.705638 0.759840 0.828253 
0.734804 0.273685 0.400391 
0.612224 0.669015 0.280091 
0.705598 0.727188 0.756770 
0.628720 0.803205 0.366359 
0.259173 0.295933 0.339227 
0.769642 0.343544 0.295980 
0.250782 0.796450 0.353771 
0.646369 0.307112 0.195281 
0.751000 0.675284 0.797412 
0.287897 0.199495 0.364498 
0.740765 0.695555 0.754447 
0.772797 0.221315 0.837729 
0.755510 0.727473 0.246690 
0.204682 0.362856 0.306943 
0.664491 0.205754 0.349739 
0.284721 0.363014 0.310096 
0.676008 0.720539 0.791668 
0.334090 0.684130 0.285133 
0.762616 0.628722 0.282082 
0.693707 0.325447 0.711910 
0.238002 0.191352 0.363248 
0.663671 0.715693 0.815768 
0.739328 0.765360 0.848817 
0.161074 0.274414 0.343046 
0.721316 0.667052 0.264858 
0.633161 0.236703 0.388755 
0.677701 0.711146 0.730020 
0.335224 0.613171 0.344242 
0.254743 0.226616 0.392122 
0.649964 0.317290 0.290161 
0.219694 0.242123 0.340830 
0.663710 0.637470 0.757566 
0.670573 0.717559 0.321291 
0.703520 0.216832 0.650784 
0.630952 0.669482 0.789967 
0.282947 0.298924 0.284990 
0.684070 0.715660 0.325895 
0.689876 0.337746 0.394623 
0.688362 0.423927 0.342743 
0.227639 0.271985 0.306533 
0.596455 0.226923 0.417477 
0.731327 0.697726 0.855405 
0.243257 0.786921 0.257025 
0.183846 0.247567 0.249257 
0.587238 0.665051 0.282718 
0.737883 0.644116 0.718089 
0.758357 0.248896 0.410521 
0.323482 0.737437 0.225543 
0.698559 0.657309 0.793294 
0.213268 0.252910 0.308630 
0.700316 0.224342 0.360607 
0.307338 0.327197 0.386270 
0.638568 0.305651 0.250837 
0.361652 0.690611 0.398636 
0.743467 0.656113 0.803998 
0.743895 0.703478 0.233863 
0.228978 0.670285 0.340919 
0.655428 0.341391 0.208176 
0.723277 0.667797 0.875469 
0.276508 0.227005 0.308071 
0.698568 0.281678 0.302396 
0.655150 0.759580 0.652977 
0.315442 0.328156 0.344658 
0.609840 0.293156 0.660493 
0.358406 0.738054 0.375328 
0.760752 0.703867 0.781650 
0.653403 0.236506 0.303200 
0.328415 0.621719 0.323965 
0.281753 0.288601 0.447541 
0.248452 0.246649 0.456720 
0.638165 0.301475 0.240555 
0.770523 0.653067 0.713769 
0.328959 0.798942 0.334075 
0.666732 0.671809 0.776054 
0.273607 0.749453 0.278601 
0.742037 0.606880 0.394572 
0.663994 0.200884 0.319880 
0.306113 0.337701 0.320245 
0.381738 0.618821 0.264946 
0.267652 0.218103 0.309524 
0.755549 0.743911 0.856731 
0.714461 0.301682 0.232037 
0.667550 0.682457 0.254630 
0.270980 0.313488 0.329360 
0.692377 0.331031 0.734660 
0.582467 0.789393 0.744842 
0.716927 0.706289 0.399533 
0.216439 0.419561 0.297208 
0.684462 0.187545 0.297373 
0.655806 0.733734 0.851900 
0.758036 0.280297 0.351707 
0.259943 0.318503 0.216025 
0.763667 0.763934 0.260155 
0.561143 0.619664 0.795731 
0.181633 0.392579 0.305690 
0.651388 0.676450 0.262461 
0.734225 0.200012 0.366991 
0.623564 0.780035 0.774232 
0.284965 0.349187 0.336783 
0.684468 0.709505 0.789226 
0.670980 0.579686 0.330545 
0.773043 0.244787 0.269497 
0.280460 0.243637 0.289272 
0.716871 0.317755 0.307503 
0.665362 0.740695 0.872710 
0.666561 0.690478 0.232511 
0.298628 0.314175 0.352538 
0.668146 0.712525 0.738298 
0.737970 0.222873 0.691085 
0.779600 0.662439 0.260047 
0.741647 0.228230 0.384209 
0.723156 0.613525 0.235650 
0.231859 0.344465 0.268614 
0.720239 0.711254 0.764406 
0.744188 0.285144 0.326052 
0.643570 0.711491 0.802205 
0.421026 0.660722 0.326886 
0.175639 0.287226 0.294008 
0.278162 0.317611 0.231869 
0.703791 0.232652 0.353677 
0.706103 0.640495 0.217213 
0.588408 0.662856 0.849506 
0.704048 0.796589 0.311761 
0.251878 0.316680 0.331215 
0.639173 0.247977 0.336482 
0.691204 0.748137 0.851723 
0.758317 0.333722 0.281312 
0.187661 0.242557 0.285762 
0.206268 0.568930 0.310061 
0.683835 0.737044 0.876320 
0.285985 0.340277 0.325342 
0.754260 0.265779 0.774045 
0.685109 0.672302 0.259530 
0.655092 0.600671 0.852307 
0.678325 0.682924 0.273194 
0.180591 0.396729 0.316898 
0.570712 0.690719 0.751264 
0.754261 0.257789 0.341640 
0.748466 0.762204 0.345177 
0.256660 0.331214 0.396292 
0.679561 0.287794 0.244823 
0.676105 0.605013 0.716175 
0.270267 0.276179 0.320361 
0.759876 0.580616 0.301575 
0.655769 0.693072 0.862526 
0.712432 0.407124 0.756263 
0.213740 0.320888 0.342458 
0.790749 0.699684 0.374557 
0.582712 0.600358 0.699129 
0.668217 0.324175 0.250979 
0.656431 0.346133 0.218044 
0.210479 0.317445 0.332458 
0.366816 0.700731 0.341761 
0.787498 0.636710 0.717915 
0.195112 0.218663 0.289861 
0.673572 0.251624 0.331368 
0.705832 0.630939 0.773231 
0.356161 0.768364 0.350058 
0.205489 0.726785 0.393382 
0.682737 0.395652 0.275927 
0.285858 0.204463 0.289275 
0.692382 0.702055 0.786112 
0.675486 0.746122 0.767220 
0.186629 0.274287 0.270263 
0.787858 0.614085 0.298965 
0.639871 0.265492 0.765741 
0.226063 0.631844 0.315368 
0.297818 0.208565 0.350706 
0.683165 0.671581 0.693837 
0.694993 0.298739 0.229791 
0.205798 0.325817 0.279748 
0.758376 0.733422 0.825762 
0.678087 0.752073 0.264353 
0.708543 0.244372 0.799221 
0.740301 0.359126 0.241823 
0.718811 0.721759 0.864700 
0.262587 0.645335 0.225637 
0.254777 0.311310 0.351903 
0.683132 0.708787 0.765245 
0.673318 0.253942 0.341945 
0.298089 0.347911 0.359858 
0.642953 0.747776 0.207425 
0.728130 0.261222 0.347841 
0.660368 0.788593 0.360269 
0.222978 0.346854 0.250785 
0.642774 0.594364 0.748900 
0.614904 0.712544 0.214590 
0.685418 0.304334 0.333732 
0.177393 0.316027 0.388284 
0.711530 0.614684 0.824569 
0.242391 0.236535 0.322929 
0.788793 0.684794 0.322042 
0.570286 0.678053 0.826535 
0.649237 0.309230 0.765913 
0.693421 0.267887 0.834567 
0.265504 0.321092 0.307824 
0.700474 0.663471 0.291870 
0.724594 0.772994 0.812806 
0.260357 0.247948 0.232025 
0.712812 0.727845 0.840894 
0.662378 0.310572 0.255903 
0.616607 0.713130 0.283383 
0.691938 0.304231 0.236519 
0.699131 0.740960 0.823348 
0.199813 0.267469 0.358183 
