"Rc/Ra" "d37Cl" "d81Br" 
0.652820 0.236855 0.147442 
0.150269 0.415026 0.518327 
0.623681 0.274372 0.170323 
0.712973 0.714371 0.624424 
0.178467 0.472478 0.583135 
0.147096 0.481079 0.515000 
0.642183 0.240687 0.222614 
0.712911 0.748219 0.671697 
0.602007 0.790754 0.622420 
0.759196 0.691633 0.594447 
0.614983 0.280872 0.142744 
0.133282 0.491438 0.557102 
0.130473 0.474598 0.558697 
0.743514 0.727978 0.638451 
0.601341 0.212931 0.261816 
0.604978 0.236750 0.205709 
0.741390 0.769405 0.689603 
0.170695 0.445778 0.508394 
0.679348 0.739250 0.152297 
0.147511 0.472344 0.484192 
0.668629 0.272491 0.665018 
0.714332 0.751509 0.651200 
0.163485 0.432919 0.503309 
0.652028 0.252806 0.190189 
0.723873 0.784324 0.666778 
0.158800 0.422765 0.494450 
0.647561 0.237926 0.256026 
0.695760 0.702132 0.626211 
0.640100 0.247451 0.149482 
0.144145 0.506446 0.591254 
0.699661 0.698926 0.654885 
0.631014 0.252626 0.147319 
0.149124 0.490645 0.534248 
0.713004 0.790157 0.642623 
0.213898 0.490454 0.546053 
0.634818 0.252005 0.192435 
0.222945 0.508082 0.560583 
0.710560 0.654590 0.641304 
0.588663 0.774040 0.157078 
0.597538 0.208814 0.186448 
0.741178 0.730765 0.650935 
0.579037 0.202714 0.180369 
0.189850 0.509311 0.562186 
0.654698 0.254731 0.143932 
0.701965 0.743118 0.707825 
0.224600 0.479581 0.528785 
0.179663 0.472239 0.601715 
0.679559 0.331277 0.694257 
0.659265 0.716548 0.262337 
0.503203 0.245408 0.245568 
0.699848 0.722294 0.642042 
0.628221 0.217589 0.183583 
0.173137 0.476325 0.571706 
0.179847 0.507274 0.508857 
0.755387 0.742630 0.673244 
0.627222 0.223268 0.280470 
0.171413 0.563277 0.558026 
0.750456 0.754969 0.634388 
0.578621 0.213130 0.213114 
0.200345 0.464311 0.520102 
0.721179 0.719334 0.735437 
0.664404 0.270948 0.184258 
0.746144 0.763421 0.683424 
0.206792 0.487378 0.540244 
0.600828 0.237772 0.198980 
0.660511 0.267134 0.188403 
0.679574 0.762148 0.674509 
0.135722 0.491972 0.522737 
0.766044 0.738532 0.675309 
0.590155 0.263990 0.151658 
0.160317 0.500553 0.550364 
0.147039 0.435030 0.510345 
0.745273 0.738784 0.709763 
0.608201 0.304029 0.214459 
0.152032 0.499759 0.555796 
0.743871 0.739275 0.633297 
0.583972 0.246840 0.210212 
0.139560 0.561245 0.496161 
0.724725 0.721065 0.718923 
0.616331 0.236646 0.161801 
0.184260 0.507200 0.521330 
0.641073 0.240044 0.200729 
0.710649 0.771132 0.719126 
0.157048 0.429527 0.508355 
0.641105 0.233585 0.186071 
0.690157 0.757870 0.723438 
0.193189 0.484160 0.506095 
0.642033 0.223330 0.234522 
0.710648 0.747137 0.727154 
0.243844 0.509944 0.534853 
0.573252 0.193591 0.139491 
0.741823 0.734468 0.717387 
0.660688 0.265441 0.185619 
0.713051 0.770630 0.648363 
0.152405 0.454287 0.557126 
0.655093 0.254712 0.157086 
0.689493 0.798830 0.652996 
0.144501 0.443032 0.511453 
0.614151 0.278396 0.259101 
0.141808 0.452533 0.549124 
0.747767 0.760331 0.655094 
0.736221 0.767459 0.644349 
0.128451 0.463560 0.555989 
0.589953 0.214567 0.195812 
0.655741 0.247893 0.164603 
0.149924 0.522697 0.491422 
0.689523 0.751648 0.682793 
0.633660 0.273926 0.193397 
0.709012 0.794927 0.710466 
0.203363 0.473590 0.519369 
0.156070 0.415405 0.472574 
0.686573 0.797672 0.158505 
0.663406 0.296635 0.694280 
0.671966 0.683386 0.193294 
0.667476 0.254698 0.679446 
0.145330 0.508769 0.526578 
0.664964 0.299070 0.710126 
0.701754 0.778895 0.228501 
0.202805 0.462183 0.446486 
0.249787 0.381043 0.604177 
0.691228 0.715876 0.242703 
0.655473 0.268167 0.733333 
0.140306 0.486232 0.464829 
0.612943 0.233457 0.126220 
0.733069 0.779640 0.635149 
0.207797 0.475185 0.553201 
0.127551 0.411812 0.558639 
0.670290 0.295915 0.211107 
0.740556 0.762953 0.723770 
0.709739 0.751142 0.680435 
0.634194 0.273154 0.266610 
0.122376 0.410359 0.517305 
0.622819 0.236285 0.229682 
0.134052 0.434674 0.562779 
0.743986 0.755124 0.630036 
0.165652 0.508269 0.527520 
0.637995 0.238475 0.141137 
0.696093 0.727479 0.678229 
0.661701 0.285224 0.144477 
0.717540 0.745475 0.663738 
0.164330 0.445688 0.589541 
0.734071 0.732441 0.702821 
0.614762 0.214378 0.195041 
0.147610 0.478259 0.486932 
0.159095 0.463633 0.488818 
0.648022 0.226695 0.184832 
0.704832 0.727779 0.733579 
0.749150 0.703612 0.678091 
0.567943 0.218999 0.153680 
0.173795 0.572317 0.526085 
0.723835 0.749085 0.637985 
0.168590 0.455661 0.518844 
0.648981 0.256348 0.150340 
0.729965 0.770159 0.727207 
0.603940 0.203141 0.213974 
0.201352 0.524873 0.556658 
0.178628 0.481017 0.507694 
0.745320 0.755818 0.728533 
0.600770 0.273152 0.231416 
0.719609 0.781128 0.688720 
0.179193 0.470443 0.495246 
0.637981 0.221969 0.159851 
0.152999 0.474591 0.556741 
0.664101 0.280874 0.163512 
0.722070 0.789430 0.639042 
0.730306 0.747728 0.671543 
0.139399 0.455909 0.540367 
0.615756 0.279509 0.151101 
0.133270 0.512736 0.517983 
0.656610 0.236659 0.138934 
0.771615 0.706487 0.678695 
0.171374 0.373011 0.461151 
0.757275 0.712535 0.644232 
0.134260 0.485266 0.568749 
0.621527 0.217771 0.180347 
0.184737 0.462111 0.556125 
0.741649 0.736146 0.670961 
0.672404 0.276749 0.161841 
0.619886 0.206127 0.152058 
0.137394 0.484978 0.572227 
0.744106 0.712970 0.674721 
0.154275 0.446363 0.550167 
0.751774 0.738885 0.633472 
0.585364 0.252340 0.177490 
0.144409 0.473890 0.493144 
0.634762 0.220055 0.288417 
0.709710 0.700749 0.669923 
0.656220 0.251443 0.195041 
0.152785 0.476959 0.483518 
0.660730 0.769891 0.698958 
0.695293 0.728164 0.277684 
0.149080 0.428433 0.491780 
0.622286 0.233935 0.197899 
0.706752 0.743630 0.699968 
0.186348 0.481881 0.547843 
0.756752 0.743465 0.692888 
0.560146 0.224651 0.139224 
0.744992 0.694686 0.655274 
0.167462 0.422619 0.548987 
0.649294 0.267168 0.226050 
0.182609 0.578677 0.521661 
0.649585 0.282837 0.165063 
0.746545 0.763271 0.649935 
0.139978 0.474520 0.561840 
0.609526 0.231459 0.259199 
0.748612 0.736649 0.724965 
0.122941 0.476387 0.500732 
0.674598 0.712279 0.733915 
0.660132 0.254029 0.246298 
0.169561 0.466552 0.503461 
0.127557 0.448227 0.519097 
0.697919 0.705837 0.643756 
0.639424 0.294624 0.263696 
0.685564 0.694010 0.634667 
0.139344 0.461160 0.502143 
0.659921 0.275281 0.278026 
0.155689 0.485699 0.597081 
0.703091 0.736148 0.736288 
0.635723 0.218844 0.179772 
0.633344 0.241922 0.157346 
0.703172 0.784862 0.704739 
0.182884 0.483311 0.516058 
0.721514 0.717369 0.665288 
0.595351 0.216927 0.159345 
0.170994 0.455066 0.610211 
