"Li" "Na" "Mg" "K" "Ca" 
0.000487 0.002407 0.005058 0.001045 0.805512 
0.675042 0.049409 0.005711 0.022553 0.000768 
0.000671 0.637551 0.005616 0.004347 0.001861 
0.000156 0.019455 0.007957 0.634970 0.074267 
0.000096 0.012054 0.755475 0.013611 0.000140 
0.000181 0.002078 0.001682 0.000846 0.786731 
0.666378 0.006529 0.000568 0.000160 0.048552 
0.000511 0.000756 0.003275 0.004485 0.823151 
0.000083 0.055751 0.000893 0.643250 0.039811 
0.000428 0.631494 0.001776 0.000039 0.000096 
0.000026 0.005215 0.767633 0.019606 0.008588 
0.640223 0.056617 0.012297 0.017157 0.023300 
0.000428 0.710797 0.003166 0.010559 0.000096 
0.000083 0.002111 0.010872 0.612756 0.055412 
0.000511 0.003221 0.005848 0.006163 0.827075 
0.000026 0.004042 0.752748 0.014019 0.006867 
0.668107 0.095740 0.000146 0.000376 0.034423 
0.000121 0.001521 0.002995 0.612769 0.041374 
0.000136 0.001073 0.008835 0.012263 0.726210 
0.001061 0.708197 0.006121 0.002118 0.001769 
0.669380 0.091379 0.001375 0.001373 0.000255 
0.000026 0.005253 0.716687 0.009521 0.026477 
0.000136 0.001014 0.001584 0.015846 0.702618 
0.002047 0.001429 0.747578 0.000031 0.023404 
0.000026 0.600503 0.001213 0.004732 0.000064 
0.000380 0.020767 0.014695 0.635119 0.009481 
0.670520 0.059760 0.052719 0.013730 0.012250 
0.704072 0.059165 0.002831 0.021035 0.013648 
0.000026 0.751852 0.002432 0.001804 0.000064 
0.001106 0.000975 0.704845 0.000031 0.006281 
0.000136 0.003620 0.005054 0.013103 0.810136 
0.000373 0.003970 0.013338 0.641493 0.033834 
0.000076 0.005341 0.006219 0.001383 0.823799 
0.000026 0.747860 0.000117 0.003940 0.000153 
0.001616 0.012454 0.767656 0.000334 0.006653 
0.000273 0.001102 0.004230 0.622385 0.026078 
0.677839 0.000081 0.016974 0.006160 0.049976 
